ลำดับ,ชื่อสารเคมี (ไทย),ชื่อสารเคมี (อังกฤษ),CAS No
737,เอทโธเอท-เมทธิล,ETHOATE-METHYL,116-01-8
738,2-เอทธอกซีอะนิลีน 2-,ETHOXYANILINE,94-70-2
739,4-เอทธอกซีอะนิลีน 4-,ETHOXYANILINE,156-43-4
740,"6-เอทธอกซี-1,2-ไดไฮโดร-2,2,4-ไตรเมทธิลควิโนลีน 6-","ETHOXY-1,2-DIHYDRO-2,2,4-TRIMETHYLQUINOLINE",91-53-2
741,2-เอทธอกซีเอทธานอล 2-,ETHOXYETHANOL,110-80-5
742,2-เอทธอกซีเอทธิล อะซีเตท 2-,ETHOXYETHYL ACETATE,11-15-9
743,เอทธอกซีควิน,ETHOXYQUIN,91-53-2
744,เอทธิล อะซีเตท,ETHYL ACETATE,141-78-6
745,เอทธิล อะครีเลท,ETHYL ACRYLATE,140-88-5
746,เอทธิลอะมีน,ETHYLAMINE,75-04-7
747,"2-เอทธิลอะมิโน-4-ไอโซโพรพิลอะมิโน-6-เมทธิลไธโอ 1,3,5- ไตรอะซีน 2-","ETHYLAMINO-4-ISOPROPYLAMINO-6-METHYLTHIO 1,3,5- TRIAZINE 834-12-8",-
748,เอ็น-เอทธิลอะนิลีน,N-ETHYLANILINE,103-69-5
749,เอทธิล เบนซีน,ETHYL BENZENE 100-41--4,-
750,เอทธิล โบรไมด์,ETHYL BROMIDE,74-96-4
751,เอทธิล โบรโมอะซีเตท,ETHYL BROMOACETATE,105-36-2
752,2-เอทธิลบิวทาน-1-ออล 2-,ETHYLBUTAN-1-OL,97-95-0
753,เอส-(เอ็น-เอทธิลคาร์บาโมอิลเมทธิล)โอโอ-ไดเมทธิล ฟอสฟอโรไดไธโอเอท,S-(N-ETHYLCARBAMOYLMETHYL) OO-DIMETHYL PHOSPHORODITHIOATE 116-01-8,-
754,เอทธิล คลอไรด์,ETHYL CHLORIDE,75-00-3
755,เอทธิล คลอโรอะซีเตท,ETHYL CHLOROACETATE,105-39-5
756,เอทธิล คลอโรฟอร์เมท,ETHYL CHLOROFORMATE,541-41-3
757,เอทธิลไซโคลเฮกซิลไกลซิดิล อีเธอร์,ETHYLCYCLOHEXYLGLYCIDYL ETHER,130014-35-6
758,เอทธิลไดเมทธิลอะมีน,ETHYLDIMETHYLAMINE,598-56-1
759,เอทธิลีน,ETHYLENE,74-85-1
760,เอทธิลีน คลอโรไฮดริน,ETHYLENE CHLOROHYDRIN,107-07-3
761,เอทธิลีน ไดอะมีน,ETHYLENE DIAMINE,107-15-3
762,เอทธิลีน ไดโบรไมด์,ETHYLENE DIBROMIDE,106-93-4
763,เอทธิลีน ไดคลอไรด์,ETHYLENE DICHLORIDE,107-06-2
764,เอทธิลีน ไดเมทธาครีเลท,ETHYLENE DIMETHACRYLATE,97-90-5
765,เอทธิลีน ไดไนเตรท,ETHYLENE DINITRATE,628-96-6
766,"2,2'-(เอทธิลีนไดออกซี) ไดเอทธิล ไดอะครีเลท 2,2'-(",ETHYLENEDIOXY) DIETHYL DIACRYLATE,1680-21-3
767,เอทธิลีน ไกลคอล,ETHYLENE GLYCOL,107-21-1
768,เอทธิลีน ไกลคอล ไดเมทธาครีเลท,ETHYLENEGLYCOL DIMETHACRYLATE,97-90-5
769,เอทธิลีน ไกลคอล ไดเมทธิล อีเธอร์,ETHYLENE GLYCOL DIMETHYL ETHER,110-71-4
770,เอทธิลีน ไกลคอล โมโนบิวทิล อีเธอร์,ETHYLENE GLYCOL MONOBUTYL ETHER,111-76-2
771,เอทธิลีน ไกลคอล โมโนเอทธิล อีเธอร์,ETHYLENE GLYCOL MONOETHYL ETHER,110-80-5
772,เอทธิลีน ไกลคอล โมโนไอโซโพรพิล อีเธอร์,ETHYLENE GLYCOL MONOISOPROPYL ETHER,109-59-1
773,เอทธิลีน ไกลคอล โมโนเมทธิล อีเธอร์,ETHYLENE GLYCOL MONOMETHYL ETHER,109-86-4
774,เอทธิล ฟอร์เมท,ETHYL FORMATE,109-94-4
775,เอทธิลไกลคอล อะซีเตท,ETHYLGLYCOL ACETATE,111-15-9
776,2-เอทธิลเฮกซิล อะครีเลท 2-,ETHYLHEXYL ACRYLATE,103-11-7
777,เอทธิลลิดีน คลอไรด์,ETHYLIDENE CHLORIDE,75-34-3
778,เอทธิล แลคเตท,ETHYL LACTATE,97-64-3
779,เอทธิล เมอร์แคพแทน,ETHYL MERCAPTAN,75-08-1
780,เอทธิล เมทธาครีเลท,ETHYL METHACRYLATE,97-63-2
781,เอทธิล เมทธิล อีเธอร์,ETHYL METHYL ETHER,540-67-0
782,เอทธิล เมทธิล คีโตน,ETHYL METHYL KETONE,78-93-3
783,เอทธิล เมทธิล คีโตน ออกซิม,ETHYL METHYL KETONE OXIME,96-29-7
784,เอทธิล เมทธิล คีตอกซิม,ETHYL METHYL KETOXIME,96-29-7
785,เอทธิล ไนไตรท์,ETHYL NITRTE,109-95-5
786,โอ-เอทธิล โอ-4-ไนโตรฟีนิล ฟอสฟอโนไธโอเอท,O-ETHYL O-4-NITROPHENYL   PHOSPHONOTHIOATE,2104-64-5
787,โอ-เอทธิล เอส-ฟีนิล เอทธิล ฟอสฟอโนไดไธโอเอท,O-ETHYL S-PHENYL ETHYL PHOSPHONODITHIOATE,944-22-9
788,เอทธิล โพรพิโอเนท,ETHYL PROPIONATE,105-37-3
789,เอทธิล ซิลิเคท,ETHYL SILICATE,78-10-4
790,เอส-[2-(เอทธิลซัลไฟนิล) เอทธิล] โอโอ-ไดเมทธิล ฟอสฟอโรไดไธโอเอท,"S-[2-(ETHYLSULPHINYL) ETHYL] O,O-DIMETHYL PHOSPHORODITHIOATE 17040-19-6",-
791,เอทธีน,ETHYNE,74-86-2
792,ฟีนาซาฟลอร์,FENAZAFLOR,14255-88-0
793,เฟนคลอร์ฟอส,FENCHLORPHOS,299-84-3
794,ฟีไนโตรไธออน,FENITROTHION,122-14-5
795,ฟีโนพรอพ,FENOPROP,93-72-1
796,เกลือของฟีโนพรอพ,FENOPROP (SALTS),-
797,เฟนซัน,FENSON,80-38-6
798,เฟนซัลโฟไธออน,FENSULFOTHION,115-90-2
799,เฟนไธออน,FENTHION,55-38-9
800,เฟนทิน อะซีเตท,FENTIN  ACETATE,900-95-8
801,เฟนทิน ไฮดรอกไซด์,FENTIN  HYDROXIDE,76-87-9
802,ฟีนามิโนซัลฟ์,FENAMINOSULF,140-56-7
803,ก๊าซไวไฟ,FLAMMABLE GASES,-
804,ของเหลวไวไฟ (เป็นของเหลวที�มีจุดวาบไฟตํ�ากว่า 55̊ ซ และยังคง สภาพเป็นของเหลวภายใต้ความดันซึ�งมีสภาวะการผลิตที�มี ลักษณะเฉพาะ เช่น การใช้ความดันสูงและอุณหภูมิสูง อาจก่อให้เกิดอุบัติภัยร้ายแรงได้,FLAMMABLE LIQUID,-
805,ฟลูอีนิทิล,FLUENETIL,4301-50-2
806,กรด 4-ฟลูออโรบิวไทริค 4-,FLUOROBUTYRIC  ACID,462-23-7
807,เอไมด์ของกรด 4-ฟลูออโรบิวไทริค 4-,"FLUOROBUTYRIC  ACID,  AMIDES",-
808,เอสเทอร์ของกรด 4-ฟลูออโรบิวไทริค 4-,"FLUOROBUTYRIC  ACID,  ESTERS",-
809,เกลือของกรด 4-ฟลูออโรบิวไทริค 4-,"FLUOROBUTYRIC  ACID, SALTS",-
810,กรด 4-ฟลูออโรโครโทนิค 4-,FLUOROCROTONIC  ACID,37759-72-1
811,เอไมด์ของกรด 4-ฟลูออโรโครโทนิค 4-,"FLUOROCROTONIC  ACID, AMIDES",-
812,เอสเทอร์ของกรด 4-ฟลูออโรโครโทนิค 4-,"FLUOROCROTONIC  ACID,  ESTERS",-
813,เกลือของกรด 4-ฟลูออโรโครโทนิค 4-,"FLUOROCROTONIC  ACID,  SALTS",-
814,กรด 4-ฟลูออโร-2-ไฮดรอกซีบิวไทริค 4-,FLUORO-2-HYDROXYBUTYRIC  ACID,-
815,เอไมด์ของกรด  4-ฟลูออโร-2-ไฮดรอกซีบิวไทริค 4-,"FLUORO-2-HYDROXYBUTYRIC  ACID, AMIDES",-
816,เอสเทอร์ของกรด  4-ฟลูออโร-2-ไฮดรอกซีบิวไทริค 4-,"FLUORO-2-HYDROXYBUTYRIC  ACID,  ESTERS",-
817,เกลือของกรด  4-ฟลูออโร-2-ไฮดรอกซีบิวไทริค 4-,"FLUORO-2-HYDROXYBUTYRIC  ACID,  SALTS",-
818,กรดฟลูออโรอะซิติค,FLUROACETIC ACID,144-49-0
819,เอไมด์ของกรดฟลูออโรอะซิติค,"FLUROACETIC ACID,  AMIDES",-
820,เอสเทอร์ของกรดฟลูออโรอะซิติค,"FLUROACETIC ACID,  ESTERS",-
821,เกลือของกรดฟลูออโรอะซิติค,"FLUROACETIC ACID,  SALTS",-
822,ฟลูออรีน,FLUORINE,7782-41-4
823,ฟลูออโรอะเซตาไมด์,FLUOROACETAMIDE,640-19-7
824,สารละลายของฟลูออโรอะซีเตท,"FLUOROACETATES, (SOLUBLE)",-
825,กรดฟลูออโรบอริค,FLUOROBORIC  ACID,16872-11-0
826,เอ็น-(ฟลูออโร ไดคลอโรเมทธิลไธโอ) พธาลิไมด์,N-(FLUORO DICHLOROMETHYLTHIO) PHTHALIMIDE,719-96-0
827,2-ฟลูออโรเอทธิล ไบฟีนิล-4-อิลอะซีเตท 2-,FLUOROETHYL BIPHENYL-4-YLACETATE,4301-50-2
828,ฟลูออโรซิลิเคทส์,FLUOROSILICATES,-
829,กรดฟลูออโรซิลิซิค,FLUOROSILICIC ACID,16961-83-4
830,กรดฟลูออโรซัลโฟนิค,FLUOROSULPHONIC ACID,7789-21-1
831,โฟโนฟอส,FONOFOS,944-22-9
832,ฟอร์มัลดิไฮด์ (ความเข้มข้น >= 90%),FORMALDEHYDE (CONCENTRATION >=90%),50-00-0
833,ฟอร์มีทาเนท,FORMETANATE,22259-30-9
834,กรดฟอร์มิค,FORMIC ACID,64-18-6
835,ฟอร์โมไธออน,FORMOTHION,2540-82-1
836,"เอส-(เอ็น-ฟอร์มิล-เอ็น-เมทธิลคาร์บาโมอิลเมทธิล)โอ,โอ-ไดเมทธิล ฟอสฟอโรไดไธโอเอท","S-(N-FORMYL-N-METHYLCARBAMOYLMETHYL)O,O- DIMETHYL PHOSPHORODITHIOATE 2540-82-1",-
837,ฟิวเบอริดาโซล,FUBERIDAZOLE,3878-19-1
838,ฟูลมิเนท ของปรอท,FULMINATE OF  MERCURY,628-86-4
839,กรดฟูมาริค,FUMARIC ACID,110-17-8
840,ฟูมาริน,FUMARIN,117-52-2
841,2-ฟิวรัลดีไฮด์ 2-,FURALDEHYDE,98-01-1
842,เฟอร์ฟิวรัล,FURFURAL,98-01-1
843,เฟอร์ฟิวรัลดีไฮด์,FURFURALDEHYDE,98-01-1
844,เฟอร์ฟิวริล แอลกอฮอล์,FURFURYL ALCOHOL,98-00-0
845,2-(2-ฟิวริล) เบนซิมิดาโซล 2-(2-,FURYL) BENZIMIDAZOLE,3878-19-1
846,กลีเซอรอล ไตรไนเตรท,GLYCEROL TRINITRATE,55-63-0
847,ไกลซีดอล,GLYCIDOL,556-52-5
848,ไกลซิดิล อะครีเลท,GLYCIDYL ACRYLATE,106-90-1
849,ไกลซิดิล เมทธาครีเลท,GLYCIDYL METHACRYLATE,106-91-2
850,ไกลออกซาล,GLYOXAL,107-22-2
851,1-กัวนิล-4-ไนโตรซามิโนกัวนิล-1-เตตระซีน 1-,GUANYL-4-NITROSAMINOGUANYL-1-TETRAZENE,109-27-3
852,กัวนาดีน ไฮโดรคลอไรด์,GUANADINE HYDROCHLORIDE,50-01-1
853,กัวนิดิเนียม คลอไรด์,GUANIDINIUM CHLORIDE,50-01-1
854,เอชซีเอช,HCH,58-89-9
855,"1,2,3,7,8,9-เฮกซะคลอโรไดเบนโซ-พารา-ไดออกซิน 1,2,3,7,8,9-",HEXACHLORODIBENZO-p-DIOXIN,19408-74-3
856,เฮกซะเมทธิลฟอสฟอราไมด์,HEXAMETHYLPHOSPHORAMIDE,680-31-9
857,"2,2',4,4',6,6'-เฮกซะไนโตรสติลบีน 2,2',4,4',6,6'-",HEXANITROSTILBENE,20062-22-0
858,"3,3,6,6,9,9-เฮกซะเมทธิล-1,2,4,5-เตตราออกโซไซโคลโนเนน (ความเข้มข้น>=75%) 3,3,6,6,9,9-","HEXMETHYL-1,2,4,5-TETRAOXOCYCLONONANE (CONCENTRATION>=75%) 22397-33-7",-
859,ของเหลวไวไฟสูง (เป็นของเหลวที�มีจุดวาบไฟตํ�ากว่า 21̊ ซ และมีจุดเดือดที�ความดันปกติสูงกว่า 20 ̊ ซ),HIGHLY  FLEMMABLE  LIQUID,-
860,ไฮดราซีน ไนเตรท,HYDRAZINE  NITRATE,13464-97-6
861,ไฮโดรเจน,HYDROGEN,1333-74-0
862,ไฮโดรเจน คลอไรด์(ก๊าซเหลว),HYDROGEN CHLORIDE (LIQUIFIED   GAS),7647-01-0
863,ไฮโดรเจน ไซยาไนด์,HYDROGEN CYANIDE,74-90-8
864,ไฮโดรเจน ฟลูออไรด์,HYDROGEN FLUORIDE,7664-39-3
865,ไฮโดรเจน ฟอสไฟด์ (ฟอสฟีน),HYDROGEN   PHOSPHIDE  (PHOSPHINE),7803-51-2
866,ไฮโดรเจน เซเลไนต์,HYDROGEN SELENIDE,7783-07-5
867,ไฮโดรเจน ซัลไฟด์,HYDROGEN SULPHIDE,7783-06-4
868,ไฮดรอกซีอะซีโตไนไตรล์ (ไกลโคโลไนไตรล์),HYDROXYACETONITRILE (GLYCOLONITRILE),107-16-4
869,เฮฟตะคลอร์,HEPTACHLOR,76-44-8
870,เฮฟตะคลอร์ อีพอกไซด์,HEPTACHLOR EPOXIDE,1024-57-3
871,"1,4,5,6,7,8,8-เฮฟตะคลอร์-2,3-อีพอกซี-3เอ,4,7,7เอ เตตระไฮโดร- 4,7-มีธาโนอินเดน 1,4,5,6,7,8,8-","HEPTACHLOR-2,3-EPOXY-3A,4,7,7A-TETRAHYDRO- 4,7-METHANOINDANE 1024-57-3",-
872,"1,4,5,6,7,8,8-เฮฟตะคลอโร-3เอ,4,7,7เอ-เตตระไฮโดร-4,7- มีธาโนอินดีน 1,4,5,6,7,8,8-","HEPTACHLORO-3A,4,7,7A-TETRAHYDRO-4,7- METHANOINDENE 76-44-8",-
873,เฮพเทน,HEPTANE,142-82-5
874,เฮพเเทน-2-โอน,HEPTAN-2-ONE,110-43-0
875,เฮพแทน-3-โอน,HEPTAN-3-ONE,106-35-4
876,เฮพเเทน-4-โอน,HEPTAN-4-ONE,123-19-3
877,เฮกซะคลอโรฟีน,HEXACHLOROPHENE,70-30-4
878,เฮกซะฟลูออโรโพรพีน,HEXAFLUORO PROPENE,116-15-4
879,เฮกซะไฮโดรพธาลิค แอนไฮไดรด์,HEXAHYDROPHTHALIC ANHYDRIDE,85-42-7
880,เฮกซะเมทธิลีน ไดอะครีเลท,HEXAMETHYLENE DIACRYLATE,13048-33-4
881,เฮกซะเมทธิลีน-ได-ไอโซไซยาเนท,HEXAMETHYLENE-DI-ISOCYANATE,-
882,เฮกซะเมทธิล ฟอสฟอริค ไตรอะไมด์,HEXAMETHYL PHOSPHORIC TRIAMIDE 680--31-9,-
883,เฮกเซน,HEXANE,110-54-3
884,"เฮกเซน-1,6-ไดออล ไดอะครีเลท","HEXANE-1,6-DIOL DIACRYLATE",13048-33-4
885,เกลือแอมโมเนียมของเฮกซะไนโตรไดฟีนิลอะมีน,HEXANITRODIPHENYLAMINE AMMONIUM SALT,-
886,เฮกเซน-1-ออล,HEXAN-1-OL,111-27-3
887,เฮกเซน-2-โอน,HEXAN-2-ONE,591-78-6
888,เฮกซิล,HEXYL,131-73-7
889,ไฮดราซีน,HYDRAZINE,302-01-2
890,สารละลายไฮดราซีน,HYDRAZINE SOLUTION,302-01-2
891,กรดไฮไดรโอดิค,HYDRIODIC ACID,10034-85-2
892,กรดไฮโดรโบรมิค,HYDROBROMIC ACID,10035-10-6
893,กรดไฮโดรคลอริค,HYDROCHLORIC ACID,7647-01-0
894,กรดไฮโดรไซยานิค,HYDROCYANIC ACID,74-90-8
895,กรดไฮโดรฟลูออริค,HYDROFLUORIC ACID,7664-39-3
896,ไฮโดรเจน โบรไมด์ แอนไฮดรัส,HYDROGEN BROMIDE ANHYDROUS,10035-10-6
897,ไฮโดรเจน คลอไรด์ แอนไฮดรัส,HYDROGEN CHLORIDE ANHYDROUS,7647-01-0
898,เกลือของไฮโดรเจน ไซยาไนต์,HYDROGEN CYANIDE (SALTS),-
899,ไฮโดรเจนฟลูออไรด์ แอนไฮดรัส,HYDROGEN FLUORIDE ANHYDROUS,7664-39-3
900,ไฮโดรเจน ไอโอไดด์ แอนไฮดรัส,HYDROGEN IODIDE ANHYDROUS,10034-85-2
901,ไฮโดรเจน เพอร์ออกไซด์,HYDROGEN PEROXIDE,7722-84-1
902,ไฮโดรควิโนน,HYDROQUINONE,123-31-9
903,"4-ไฮดรอกซี-3,5-ได-ไอโอโดเบนโซไนไตรล์ 4-","HYDROXY-3,5-DI-IODOBENZONITRILE",16789-83-4
904,2-ไฮดรอกซีเอทธิล อะครีเลท 2-,HYDROXYETHYL ACRYLATE,818-61-1
905,2-ไฮดรอกซีเอทธิล เมทธาครีเลท 2-,HYDROXYETHYL METHACRYLATE,868-77-9
906,4-ไฮดรอกซี-4-เมทธิลเพนทาน-2-โอน 4-,HYDROXY-4-METHYLPENTAN-2-ONE,123-42-2
907,4-ไฮดรอกซี-3-[3-ออกโซ-1-(4-คลอโรฟีนิล) บิวทิล] คูมาริน 4-,HYDROXY-3-[3-OXO-1-(4-CHLOROPHENYL) BUTYL) COUMARIN 81-82-3,-
908,4-ไฮดรอกซี-3-[3-ออกโซ-1-(2-ฟิวริล) บิวทิล] คูมาริน 4-,HYDROXY-3-[3-OXO-1-(2-FURYL) BUTYL ] COUMARIN,117-52-2
909,4-ไฮดรอกซี-3-(3-ออกโซ-1-ฟีนิลบิวทิล) คูมาริน 4-,HYDROXY-3-(3-OXO-1-PHENYLBUTYL) COUMARIN,81-81-2
910,ไฮดรอกซีโพรพิล อะครีเลท,HYDROXYPROPYL ACRYLATE,25584-83-2
911,ไฮดรอกซีโพรพิล เมทธาครีเลท,HYDROXYPROPYL METHACRYLATE,27813-02-1
912,8-ไฮดรอกซีควิโนลีน ซัลเฟท 8-,HYDROXYQUINOLINE SULPHATE,134-31-6
913,"4-ไฮดรอกซี-3-(1,2,3,4-เตตระไฮโดร-1-แนพธิล) คูมาริน 4-","HYDROXY-3-(1,2,3,4-TETRAHYDRO-1-NAPTHYL) COUMARIN 5836-29-3",-
914,ไฮออสซีน,HYOSCINE,51-34-3
915,เกลือของไฮออสซีน,HYOSCINE (SALTS),-
916,ไฮออสไซยาไมน์,HYOSCYAMINE,101-31-5
917,เกลือของไฮออสไซยาไมน์,HYOSCYAMINE (SALTS),-
918,"2,2'-อิมมิโนไดเอทธานอล 2,2'-",IMINODIETHANOL,111-42-2
919,"2,2'-อิมมิโนไดเอทธิลอะมีน 2,2'-",IMINODIETHYLAMINE,111-40-0
920,"1,1'-อิมมิโนไดโพรพาน-2-ออล 1,1'-",IMMINODIPROPAN-2-OL,-
921,"3,3'-อิมมิโนโพรพิลอะมีน 3,3'-",IMINOPROPYLAMINE,56-18-8
922,ไอโอดีน,IODINE,7559-56-2
923,กรดไอโอโดอะซีติค,IODOACETIC ACID,64-69-7
924,ไอโอโดมีเธน,IODOMETHANE,74-88-4
925,ไอโอดอกซีเบนซีน,IODOXYBENZENE,696-33-3
926,3-ไอโอโดโพรพีน 3-,IODOPROPRENE,556-56-9
927,ไอออกซีนิล,IOXYNIL 1689-83--4,-
928,ไอโซบิวทิล อะซีเตท,ISOBUTYL ACETATE,110-19-0
929,ไอโซเบนซาน,ISOBENZAN,297-78-9
930,ไอโซดรีน,ISODRIN,465-73-6
931,ไอโซบิวทิล อะครีเลท,ISOBUTYL ACRYLATE,106-63-8
932,ไอโซบิวทิล เมทธาครีเลท,ISOBUTYL METHACRYLATE,97-86-9
933,กรดไอโซบิวไทริค,ISOBUTYRIC ACID,79-31-2
934,ไอโซบิวไทริค คลอไรด์,ISOBUTYRIC CHLORIDE,79-30-1
935,"3-ไอโซไซยานาโตเมทธิล-3,5,5-ไตรเมทธิลไซโคลเฮกซิล ไอโซไซยาเนท 3-","ISOCYANATOMETHYL-3,5,5-TRIMETHYLCYCLOHEXYL ISOCYANATE 4098-71-9",-
936,4-ไอโซไซยานาโตซัลโฟนิลโทลูอีน 4-,ISOCYANATOSULPHONYLTOLUENE,4083-64-1
937,ไอโซแลน,ISOLAN,119-38-0
938,ไอโซเพนเทน,ISOPENTANE,78-78-4
939,ไอโซฟอโรน,ISOPHORONE,78-59-1
940,ไอโซฟอโรน ไดอะมีน,ISOPHORONE DIAMINE,2855-13-2
941,ไอโซฟอโรน ได-ไอโซไซยาเนท,ISOPHORONE DI-ISOCYANATE,4098-71-9
942,ไอโซพรีน,ISOPRENE,78-79-5
943,ไอโซโพรพาโนลามีน,ISOPROPANOLAMINE,78-96-6
944,ไอโซโพรพีนิลเบนซีน,ISOPROPENYLBENZENE,98-83-9
945,2-ไอโซโพรพอกซีเอทธานอล 2-,ISOPROPOXYETHANOL,109-59-1
946,2-ไอโซโพรพอกซีฟีนิล เมทธิลคาร์บาเมท 2-,ISOPROPOXYPHENYL  METHYLCARBAMATE,114-26-1
947,ไอโซโพรพิล อะซีเตท,ISOPROPYL ACETATE,108-21-4
948,ไอโซโพรพิล แอลกอฮอล์,ISOPROPYL ALCOHOL,67-63-0
949,ไอโซโพรพิลอะมีน,ISOPROPYLAMINE,75-31-0
950,"2-ไอโซโพรพิลอะมิโน-4-เมทธิลอะมิโน-6-เมทธิลไธโอ 1,3,5- ไตรอะซีน 2-","ISOPROPYLAMINO-4-METHYLAMINO-6-METHYLTHIO 1,3,5- TRIAZINE 1014-69-3",-
951,ไอโซโพรพิล เบนซีน,ISOPROPYL BENZENE,98-82-8
952,ไอโซโพรพิล ฟอร์เมท,ISOPROPYL FORMATE,625-55-8
953,3-ไอโซโพรพิล-5-เมทธิลฟีนิล เมทธิลคาร์บาเมท 3-,ISOPROPYL-5-METHYLPHENYL METHYLCARBAMATE,2631-37-0
954,1-ไอโซโพรพิล-3-เมทธิลไพราซอล-5-อิล ไดเมทธิลคาร์บาเมท 1-,ISOPROPYL-3-METHYLPYRAZOL-5-YL DIMETHYLCARBAMATE 119-38-0,-
955,"จักโลน (5-ไฮดรอกซีแนพธาลีน-1,4-ไดโอน)","JUGLONE (5-HYDROXYNAPTHALENE-1,4-DIONE)",481-39-0
956,คีลีแวน,KELEVAN,4234-79-1
957,เลด สไตฟเนท,LEAD  STYPHNATE,15245-44-0
958,"เลด 2,4,6-ไตรไนโตรรีซอร์ซินอกไซด์","LEAD  2,4,6-TRINITRORESORCINOXIDE",15245-44-0
959,ออกซิเจนเหลว,LIQUID  OXYGEN,7782-44-7
960,เลด อัลคิล,LEAD ALKYLS,-
961,เลด อะไซด์,LEAD AZIDE,13424-46-9
962,เลด โครเมท,LEAD CHROMATE,7758-97-6
963,ตะกั�ว (สารประกอบ),LEAD (COMPOUNDS),-
964,เลด เฮกซะฟลูออโรซิลิเคท,LEAD HEXAFLUOROSILICATE,25808-74-6
965,เลด สไตฟเนท,LEAD STYPHNATE,15245-44-0
966,"2-(1-เมทธิลบิวทิล)-4,6-ไดไนโตรฟีนอล 2-(1-","METHYLBUTYL)-4,6-DINITROPHENOL",4097-36-3
967,เมทธิล เอ็น-บิวทิล คีโตน,METHYL N-BUTYL KETONE,591-78-6
968,เมอร์คิวรี,MERCURY,7439-97-6
969,เมอร์คิวรี ฟลูมิเนท,MERCURY  FULMINATE,628-86-4
970,เมทธิล เอทธิล คีโตน เพอร์ออกไซด์ (ความเข้มข้น>=60%),METHYL  ETHYL  KETONE  PEROXIDE (CONCENTRATION>=60%) 1338-23-4,-
971,เมทธิล ไอโซบิวทิล คีโตน เพอร์ออกไซด์ (ความเข้มข้น>=60%),METHYL ISOBUTYL KETONE PEROXIDE (CONCENTRATION>=60 %),37206-20-5
972,เมทธิล ไอโซไซยาเนท,METHYL ISOCYANATE,624-83-9
973,เมทธิล พาราไธออน,METHYL  PARATHION,298-00-0
974,เมทธิลคลอไรด์,METHYL CHLORIDE,74-87-3
975,เมทธิล 2-คลอโร-3-(4-คลอโรฟินิล) โพรพิโอเนท,METHYL 2-CHLORO-3(4-CHLOROPHENYL) PROPIONATE,14437-17-3
976,เมทธิล คลอโรฟอร์ม,METHYL CHLOROFORM,71-55-6
977,เมทธิล คลอโรฟอร์เมท,METHYL CHLOROFORMATE,79-22-1
978,เมทธิล ไซโคลเฮกเซน,METHYL CYCLOHEXANE,108-87-2
979,2-เมทธิลไซโคลเฮกซะนอล 2-,METHYLCYCLOHEXANOL,583-59-5
980,2-เมทธิลไซโคลเฮกซะโนน 2-,METHYLCYCLOHEXANONE,583-60-8
981,เอ็น-เมทธิลไดเอทธาโนลามีน,N-METHYLDIETHANOLAMINE,105-59-9
982,"4,4-เมทธิลีน บิส (2-คลอโรอะนิลิน) 4,4-",METHYLENE BIS (2-CHLOROANILINE),101-14-4
983,"เกลือของ 4,4'-เมทธิลีน บิส (2-คลอโรอะนิลีน) 4,4'-",METHYLENE BIS(2-CHLOROANILINE) (SALTS),-
984,"4,4'-เมทธิลีนไดอะนิลีน 4,4'-",METHYLENE DIANILINE,101-77-9
985,เมทธิลีน ไดโบรไมด์,METHYLENE DIBROMIDE,74-95-3
986,เมทธิลีน ไดคลอไรด์,METHYLENE DICHLORIDE,75-09-2
987,"4,4'-เมทธิลีนได (ไซโคลเฮกซิล ไอโซไซยาเนท) 4,4'-",METHYLENEDI (CYCLOHEXYL ISOCYANATE),5124-30-1
988,"3,3' เมทธิลีน  (4-ไฮดรอกซีคูมาริน) 3,3'",METHYLENE  (4-HYDROXYCOUMARIN),66-76-2
989,"2,2-เมทธิลีน บิส-(3,4,6-ไตรคลอโรฟีนอล) 2,2-","METHYLENE BIS-(3,4,6-TRICHLOROPHENOL)",70-30-4
990,เอ็น-เมทธิล-2-เอทธาโนลามีน,N-METHYL-2-ETHANOLAMINE,109-83-1
991,เมทธิล เอทธิล คีโตน,METHYL  ETHYL  KETONE,78-93-3
992,เมทธิล เอทธิล คีโตน เพอร์ออกไซด์ (ความเข้มข้น60%),METHYL  ETHYL  KETONE  PEROXIDE (CONCENTRETION>=60%),-
993,เมทธิล ฟอร์เมท,METHYL FORMATE,107-31-3
994,เมทธิลไกลคอล อะซีเตท,METHYLGLYCOL ACETATE,110-49-6
995,5-เมทธิลเฮพทาน-3-โอน 5-,METHYLHEPTAN-3-ONE,541-85-5
996,5-เมทธิลเฮกซาน-2-โอน 5-,METHYLHEXAN-2-ONE,110-12-3
997,1-เมทธิลอิมมิดาโซล 1-,METHYLIMIDAZOLE,616-47-7
998,"2,2'-(เมทธิลอิมมิโน) ไดเอทธานอล 2,2'-(",METHYLIMMINO) DIETHANOL,105-59-9
999,เมทธิล ไอโอไดด์,METHYL IODIDE,74-88-4
1000,เมทธิลไอโซเอมิล คีโตน,METHYLISOAMYL KETONE,110-12-3
1001,เมทธิลไอโซบิวทิล คาร์บินอล,METHYLISOBUTYL CARBINOL,108-11-2
1002,เมทธิลไอโซบิวทิล คีโตน,METHYL ISOBUTYL KETONE,108-10-1
1003,เมทธิล ไอโซโพรพิล คีโตน,METHYL ISOPROPYL KETONE,563-80-4
1004,เมทธิล ไอโซไธโอไซยาเนท,METHYL ISOTHIOCYANATE,556-61-6
1005,เมทธิล แลคเตท,METHYL LACTATE,547-64-8
